cluster,queue,percentage
0,Technical Support,0.2633856138453218
0,Customer Service,0.2130881557598702
0,Product Support,0.16279069767441862
0,IT Support,0.11627906976744186
0,Billing and Payments,0.06435911303407248
0,Sales and Pre-Sales,0.06165494862087615
0,Returns and Exchanges,0.058409951325040566
0,Human Resources,0.024337479718766902
0,Service Outages and Maintenance,0.02163331530557058
0,General Inquiry,0.014061654948620876
1,Technical Support,0.20958570268074736
1,Customer Service,0.1965881397238018
1,Product Support,0.17952883834281072
1,IT Support,0.11860276198212835
1,Billing and Payments,0.10235580828594638
1,Returns and Exchanges,0.06336311941510966
1,Sales and Pre-Sales,0.05117790414297319
1,Service Outages and Maintenance,0.043866774979691305
1,Human Resources,0.01868399675060926
1,General Inquiry,0.016246953696181964
2,Technical Support,0.2648364957610012
2,Product Support,0.20226079935405733
2,Customer Service,0.18974566007266855
2,IT Support,0.10900282599919257
2,Returns and Exchanges,0.07064997981429148
2,Billing and Payments,0.05732741219216794
2,Sales and Pre-Sales,0.03916027452563585
2,Service Outages and Maintenance,0.02624142107387969
2,Human Resources,0.023819136051675415
2,General Inquiry,0.016955995155429955
3,Customer Service,0.2203921568627451
3,Product Support,0.1984313725490196
3,Technical Support,0.17647058823529413
3,IT Support,0.12941176470588237
3,Billing and Payments,0.10980392156862745
3,Sales and Pre-Sales,0.058823529411764705
3,Returns and Exchanges,0.05176470588235294
3,Service Outages and Maintenance,0.02431372549019608
3,General Inquiry,0.01803921568627451
3,Human Resources,0.012549019607843137
4,Customer Service,0.2181433109777621
4,Technical Support,0.20120014119308155
4,Product Support,0.17402047299682316
4,Billing and Payments,0.13342746205435935
4,IT Support,0.10624779385810096
4,Sales and Pre-Sales,0.050123543946346626
4,Returns and Exchanges,0.049064595834804096
4,Service Outages and Maintenance,0.03106247793858101
4,General Inquiry,0.019767031415460642
4,Human Resources,0.01694316978468055
5,Technical Support,0.3895253682487725
5,Product Support,0.19749045280960176
5,Customer Service,0.11238406983087834
5,IT Support,0.10856519367157665
5,Billing and Payments,0.06546644844517185
5,Returns and Exchanges,0.055100927441352976
5,Human Resources,0.03218767048554282
5,Sales and Pre-Sales,0.018548827059465357
5,General Inquiry,0.011456628477905073
5,Service Outages and Maintenance,0.009274413529732678
6,Technical Support,0.35153418700169126
6,Product Support,0.18216960618506886
6,IT Support,0.12925827494563905
6,Customer Service,0.11210437303696545
6,Billing and Payments,0.07417250543609567
6,Returns and Exchanges,0.04856245469920271
6,Service Outages and Maintenance,0.0442135781589756
6,Sales and Pre-Sales,0.024643633727953612
6,Human Resources,0.02077796569219618
6,General Inquiry,0.012563421116211646
7,Billing and Payments,0.9962453066332916
7,Returns and Exchanges,0.0037546933667083854
8,Technical Support,0.3855154327214041
8,Product Support,0.17671979019568287
8,IT Support,0.16320355053459754
8,Customer Service,0.09763970143231794
8,Service Outages and Maintenance,0.08008876336493848
8,Returns and Exchanges,0.03671575549727658
8,Human Resources,0.020375226951785355
8,Billing and Payments,0.01755093806737946
8,Sales and Pre-Sales,0.013112769820455922
8,General Inquiry,0.009078071414161792
9,Product Support,0.29878048780487804
9,Technical Support,0.2804878048780488
9,Customer Service,0.17276422764227642
9,IT Support,0.07181571815718157
9,Returns and Exchanges,0.06571815718157181
9,Service Outages and Maintenance,0.029132791327913278
9,Sales and Pre-Sales,0.028455284552845527
9,General Inquiry,0.026422764227642278
9,Human Resources,0.016260162601626018
9,Billing and Payments,0.01016260162601626
